Distance_km,Clean_dB,Noisy_dB
4.200210010500525504e-02,-8.400420021001052048e-03,-1.184205896878903985e+00
4.300215010750537553e-02,-8.600430021501076147e-03,8.446667429705257968e-01
4.400220011000550296e-02,-8.800440022001100246e-03,2.802392074323710805e-02
4.500225011250563040e-02,-9.000450022501126079e-03,5.710484942459874702e-01
4.600230011500575089e-02,-9.200460023001150178e-03,-1.125027843420244089e+00
4.700235011750587832e-02,-9.400470023501176012e-03,2.982104516457525500e-01
4.800240012000600576e-02,-9.600480024001201845e-03,2.885459577974626155e-01
4.900245012250612625e-02,-9.800490024501225944e-03,-1.538178473817944925e-01
5.000250012500625368e-02,-1.000050002500125178e-02,5.182267939921599842e-01
5.100255012750637418e-02,-1.020051002550127588e-02,-9.005807162092553941e-01
5.200260013000650161e-02,-1.040052002600130171e-02,2.646455766148906319e-01
5.300265013250662904e-02,-1.060053002650132581e-02,-9.278520075924745480e-01
5.400270013500674954e-02,-1.080054002700134991e-02,-1.088619956868251415e-01
5.500275013750687697e-02,-1.100055002750137574e-02,5.059148310584458130e-01
5.600280014000700440e-02,-1.120056002800140157e-02,7.499151044071173944e-01
5.700285014250712490e-02,-1.140057002850142567e-02,-7.197999183947398905e-01
5.800290014500725233e-02,-1.160058002900145151e-02,2.739007536238825466e-02
5.900295014750737976e-02,-1.180059002950147734e-02,2.952126111699401693e-03
6.000300015000750026e-02,-1.200060003000150144e-02,-3.790391522474332309e-01
6.100305015250762769e-02,-1.220061003050152554e-02,-3.940390860730313416e-01
6.200310015500775512e-02,-1.240062003100155137e-02,8.972122812088036969e-01
6.300315015750787562e-02,-1.260063003150157547e-02,6.138899555156380750e-01
6.400320016000800305e-02,-1.280064003200160130e-02,1.896760993708143054e-03
6.500325016250813048e-02,-1.300065003250162714e-02,-4.970547333555833669e-01
6.600330016500825792e-02,-1.320066003300165297e-02,-2.048229194314228896e-01
6.700335016750837147e-02,-1.340067003350167534e-02,-4.029435819051567780e-01
6.800340017000849890e-02,-1.360068003400170117e-02,-1.715639557438403129e+00
6.900345017250862634e-02,-1.380069003450172527e-02,-2.381697407925454091e-01
7.000350017500875377e-02,-1.400070003500175110e-02,-1.928191657869854914e-01
7.100355017750888120e-02,-1.420071003550177693e-02,-2.702200768671252362e-01
7.200360018000900864e-02,-1.440072003600180277e-02,2.094912712112561581e-01
7.300365018250912219e-02,-1.460073003650182513e-02,-1.979098950865745721e+00
7.400370018500924962e-02,-1.480074003700185097e-02,9.101505809399491609e-01
7.500375018750937706e-02,-1.500075003750187680e-02,6.483792211557631857e-01
7.600380019000950449e-02,-1.520076003800190090e-02,-2.236117237241827205e+00
7.700385019250963192e-02,-1.540077003850192673e-02,8.634549000741015279e-01
7.800390019500975936e-02,-1.560078003900195256e-02,7.669994042890837527e-01
7.900395019750987291e-02,-1.580079003950197666e-02,5.222011685931110536e-01
8.000400020001000034e-02,-1.600080004000200076e-02,-1.755199386226796721e-01
8.100405020251012778e-02,-1.620081004050202486e-02,9.944815075665426329e-01
8.200410020501025521e-02,-1.640082004100205243e-02,-4.430440749688763918e-02
8.300415020751038264e-02,-1.660083004150207653e-02,2.390550680143535001e-01
8.400420021001051007e-02,-1.680084004200210410e-02,-2.504116061595129117e-01
8.500425021251062363e-02,-1.700085004250212473e-02,4.396162219488396472e-01
8.600430021501075106e-02,-1.720086004300215229e-02,-1.401827243158505709e+00
8.700435021751087850e-02,-1.740087004350217639e-02,1.887167903638421740e-01
8.800440022001100593e-02,-1.760088004400220049e-02,5.363333871755128490e-02
8.900445022251113336e-02,-1.780089004450222806e-02,-1.278867770365790246e+00
9.000450022501126079e-02,-1.800090004500225216e-02,-1.519275125741214039e+00
9.100455022751137435e-02,-1.820091004550227626e-02,-2.493075401153922455e-01
9.200460023001150178e-02,-1.840092004600230036e-02,-1.402625780513905074e+00
9.300465023251162922e-02,-1.860093004650232792e-02,-2.237935904254860553e+00
9.400470023501175665e-02,-1.880094004700235202e-02,-1.289198031018957469e+00
9.500475023751188408e-02,-1.900095004750237959e-02,6.255316462444810988e-01
9.600480024001201151e-02,-1.920096004800240369e-02,7.241834273960555679e-01
9.700485024251212507e-02,-1.940097004850242779e-02,-5.441409746011145465e-01
9.800490024501225250e-02,-1.960098004900245189e-02,-3.476386138089709865e-01
9.900495024751237993e-02,-1.980099004950247599e-02,-2.104890855161440366e-01
1.000050002500125074e-01,-2.000100005000250356e-02,-1.707864419352062013e+00
1.010050502525126348e-01,-2.020101005050252765e-02,7.152493250143365788e-01
1.020051002550127484e-01,-2.040102005100255175e-02,-5.348071674080874249e-01
1.030051502575128758e-01,-2.060103005150257585e-02,1.693277240772500802e-01
1.040052002600130032e-01,-2.080104005200260342e-02,-7.822660711828564872e-02
1.050052502625131307e-01,-2.100105005250262752e-02,-2.311715556292755491e-01
1.060053002650132581e-01,-2.120106005300265162e-02,-5.914169553813015678e-01
1.070053502675133855e-01,-2.140107005350267919e-02,-8.304882997802340849e-01
1.080054002700134991e-01,-2.160108005400269982e-02,-8.511796939483730062e-01
1.090054502725136265e-01,-2.180109005450272738e-02,-9.109566352164870651e-01
1.100055002750137539e-01,-2.200110005500275148e-02,1.608182211219033597e+00
1.110055502775138814e-01,-2.220111005550277905e-02,-1.700159918164425576e+00
1.120056002800140088e-01,-2.240112005600280315e-02,9.849894935426739551e-01
1.130056502825141362e-01,-2.260113005650282725e-02,-2.202302983781882162e+00
1.140057002850142498e-01,-2.280114005700285135e-02,-7.279988018409869199e-02
1.150057502875143772e-01,-2.300115005750287545e-02,8.212652357918153179e-01
1.160058002900145047e-01,-2.320116005800290301e-02,-2.042306654463096116e+00
1.170058502925146321e-01,-2.340117005850292711e-02,6.340615333195499803e-02
1.180059002950147595e-01,-2.360118005900295468e-02,-6.521464924379221095e-01
1.190059502975148870e-01,-2.380119005950297878e-02,-7.572135708188821868e-01
1.200060003000150005e-01,-2.400120006000300288e-02,-1.439278606247007541e+00
1.210060503025151279e-01,-2.420121006050302698e-02,3.631023682326052215e-01
1.220061003050152554e-01,-2.440122006100305108e-02,-2.433931445082205269e-01
1.230061503075153828e-01,-2.460123006150307864e-02,5.431221306559604889e-01
1.240062003100155102e-01,-2.480124006200310274e-02,-1.563114133695390207e+00
1.250062503125156377e-01,-2.500125006250313031e-02,-2.690450693735868981e+00
1.260063003150157512e-01,-2.520126006300315094e-02,7.973558859200103877e-01
1.270063503175158925e-01,-2.540127006350317851e-02,-2.180473148489841861e+00
1.280064003200160061e-01,-2.560128006400320261e-02,-1.098382610052435648e+00
1.290064503225161197e-01,-2.580129006450322671e-02,5.071651993948456116e-01
1.300065003250162610e-01,-2.600130006500325427e-02,4.029840134891202186e-01
1.310065503275163745e-01,-2.620131006550327490e-02,1.427500367154108663e+00
1.320066003300165158e-01,-2.640132006600330594e-02,-8.985144406044209830e-01
1.330066503325166294e-01,-2.660133006650332657e-02,-2.273751309797153564e+00
1.340067003350167429e-01,-2.680134006700335067e-02,5.078183079849084569e-01
1.350067503375168843e-01,-2.700135006750337824e-02,2.681704009211576256e-01
1.360068003400169978e-01,-2.720136006800340234e-02,1.946042669078078269e-01
1.370068503425171391e-01,-2.740137006850342991e-02,-6.903706735666180760e-01
1.380069003450172527e-01,-2.760138006900345053e-02,-4.355960723428978221e-01
1.390069503475173940e-01,-2.780139006950348157e-02,-9.138315033796584608e-01
1.400070003500175075e-01,-2.800140007000350220e-02,6.261205339862661035e-01
1.410070503525176211e-01,-2.820141007050352630e-02,-4.033917459203235911e-02
1.420071003550177624e-01,-2.840142007100355387e-02,1.175232578546204332e+00
1.430071503575178760e-01,-2.860143007150357797e-02,-3.958496656378889811e-01
1.440072003600180173e-01,-2.880144007200360554e-02,-7.700044733700323052e-01
1.450072503625181308e-01,-2.900145007250362617e-02,-1.269758886182836555e-01
1.460073003650182444e-01,-2.920146007300365026e-02,5.075522000573136072e-01
1.470073503675183857e-01,-2.940147007350367783e-02,-7.421609451512733990e-01
1.480074003700184992e-01,-2.960148007400370193e-02,3.283136144380794930e-01
1.490074503725186406e-01,-2.980149007450372950e-02,-3.233113194570803595e-01
1.500075003750187541e-01,-3.000150007500375360e-02,8.877250173812484269e-01
1.510075503775188954e-01,-3.020151007550378117e-02,3.837274307918795424e-01
1.520076003800190090e-01,-3.040152007600380180e-02,-3.809938684814870857e-01
1.530076503825191225e-01,-3.060153007650382589e-02,-5.456322358947919282e-01
1.540077003850192638e-01,-3.080154007700385346e-02,-4.364940382366719329e-02
1.550077503875193774e-01,-3.100155007750387756e-02,7.609706861573783954e-01
1.560078003900195187e-01,-3.120156007800390513e-02,3.953031635030886948e-01
1.570078503925196323e-01,-3.140157007850392923e-02,-1.225094564271857589e+00
1.580079003950197458e-01,-3.160158007900395333e-02,1.824198086348483364e-02
1.590079503975198871e-01,-3.180159007950397743e-02,7.817370641564718170e-01
1.600080004000200007e-01,-3.200160008000400153e-02,-2.772925468801229476e-01
1.610080504025201420e-01,-3.220161008050403256e-02,1.300806922631779550e+00
1.620081004050202556e-01,-3.240162008100404972e-02,-1.584494807835235219e+00
1.630081504075203691e-01,-3.260163008150407382e-02,5.645996889586970546e-01
1.640082004100205104e-01,-3.280164008200410486e-02,1.718923749665840772e-01
1.650082504125206240e-01,-3.300165008250412896e-02,6.230685215422357981e-01
1.660083004150207653e-01,-3.320166008300415306e-02,-2.293673833494195291e-01
1.670083504175208788e-01,-3.340167008350417716e-02,-1.068359933868270550e+00
1.680084004200210201e-01,-3.360168008400420819e-02,4.848510687570576350e-01
1.690084504225211337e-01,-3.380169008450422535e-02,-9.535057744509002342e-01
1.700085004250212473e-01,-3.400170008500424945e-02,5.227613206863980511e-02
1.710085504275213886e-01,-3.420171008550428049e-02,-8.237774922377649744e-01
1.720086004300215021e-01,-3.440172008600430459e-02,-1.979735290782977108e-01
1.730086504325216434e-01,-3.460173008650432869e-02,-1.018917271395125335e+00
1.740087004350217570e-01,-3.480174008700435279e-02,-3.210220513815046139e+00
1.750087504375218705e-01,-3.500175008750437688e-02,-3.596416717839896471e+00
1.760088004400220119e-01,-3.520176008800440098e-02,7.312799575010990871e-01
1.770088504425221254e-01,-3.540177008850442508e-02,-1.166656378412630035e+00
1.780089004450222667e-01,-3.560178008900445612e-02,4.715677632171430544e-01
1.790089504475223803e-01,-3.580179008950448022e-02,-6.916610271784642272e-01
1.800090004500225216e-01,-3.600180009000450432e-02,-6.058250902917199365e-01
1.810090504525226351e-01,-3.620181009050452842e-02,-1.055189360845296243e+00
1.820091004550227487e-01,-3.640182009100455252e-02,8.589439560245026861e-01
1.830091504575228900e-01,-3.660183009150457661e-02,-3.677869558428125130e-01
1.840092004600230036e-01,-3.680184009200460071e-02,-6.706451963082747936e-01
1.850092504625231449e-01,-3.700185009250463175e-02,-6.421081398270928053e-01
1.860093004650232584e-01,-3.720186009300465585e-02,4.446444606240830266e-01
1.870093504675233720e-01,-3.740187009350467301e-02,4.970556034604101114e-02
1.880094004700235133e-01,-3.760188009400470405e-02,1.397386110991008790e-01
1.890094504725236269e-01,-3.780189009450472815e-02,1.304047279107692914e+00
1.900095004750237682e-01,-3.800190009500475918e-02,-1.955071136119983233e-01
1.910095504775238817e-01,-3.820191009550477634e-02,-1.932280202635059396e+00
1.920096004800240230e-01,-3.840192009600480738e-02,4.366324834988943304e-01
1.930096504825241366e-01,-3.860193009650483148e-02,1.673671688875445485e-01
1.940097004850242501e-01,-3.880194009700485558e-02,-8.472336557785632716e-02
1.950097504875243914e-01,-3.900195009750487968e-02,-7.669150563635063200e-01
1.960098004900245050e-01,-3.920196009800490378e-02,7.862503951088629650e-01
1.970098504925246463e-01,-3.940197009850493481e-02,-1.741367110568698084e+00
1.980099004950247599e-01,-3.960198009900495197e-02,9.539745120402607359e-01
1.990099504975248734e-01,-3.980199009950497607e-02,-7.320862450096599083e-01
2.000100005000250147e-01,-4.000200010000500711e-02,1.703327373128088740e-01
2.010100505025251283e-01,-4.020201010050503121e-02,-3.552523835118577278e+00
2.020101005050252696e-01,-4.040202010100505531e-02,4.722946946652803457e-01
2.030101505075253832e-01,-4.060203010150507941e-02,1.702228813700855881e+00
2.040102005100254967e-01,-4.080204010200510351e-02,-3.378094130033673093e-01
2.050102505125256380e-01,-4.100205010250512760e-02,-2.421534268335567563e-01
2.060103005150257516e-01,-4.120206010300515170e-02,4.332124509388818323e-01
2.070103505175258929e-01,-4.140207010350518274e-02,3.798479135989712985e-01
2.080104005200260064e-01,-4.160208010400520684e-02,-1.406466295414960932e+00
2.090104505225261478e-01,-4.180209010450523094e-02,-1.804195644177177815e+00
2.100105005250262613e-01,-4.200210010500525504e-02,-1.919365788252636040e+00
2.110105505275263749e-01,-4.220211010550527914e-02,1.156566311448192996e+00
2.120106005300265162e-01,-4.240212010600530324e-02,7.664762118887697984e-01
2.130106505325266297e-01,-4.260213010650532733e-02,-6.621210986862714476e-01
2.140107005350267710e-01,-4.280214010700535837e-02,2.138505901800985820e-01
2.150107505375268846e-01,-4.300215010750538247e-02,-3.533671267336483401e-01
2.160108005400269982e-01,-4.320216010800539963e-02,1.865242823284527285e+00
2.170108505425271395e-01,-4.340217010850543067e-02,-2.894580142082890939e-01
2.180109005450272530e-01,-4.360218010900545477e-02,-4.812822492355222637e-01
2.190109505475273943e-01,-4.380219010950547887e-02,4.533150821567623057e-01
2.200110005500275079e-01,-4.400220011000550296e-02,5.300885402816591929e-01
2.210110505525276492e-01,-4.420221011050553400e-02,-1.887953550568411298e+00
2.220111005550277627e-01,-4.440222011100555810e-02,-7.909404089816406414e-01
2.230111505575278763e-01,-4.460223011150557526e-02,-3.906312386996914077e-01
2.240112005600280176e-01,-4.480224011200560630e-02,1.257823747207747145e+00
2.250112505625281312e-01,-4.500225011250563040e-02,-2.405162614166093116e-01
2.260113005650282725e-01,-4.520226011300565450e-02,1.035509225396808564e+00
2.270113505675283860e-01,-4.540227011350567859e-02,-5.111351491075797476e-02
2.280114005700284996e-01,-4.560228011400570269e-02,3.718069482959990291e-02
2.290114505725286409e-01,-4.580229011450573373e-02,-3.577456402564045401e-01
2.300115005750287545e-01,-4.600230011500575089e-02,-9.559589316693284378e-01
2.310115505775288958e-01,-4.620231011550578193e-02,-1.769963513581616299e+00
2.320116005800290093e-01,-4.640232011600580603e-02,-2.621479815398298996e+00
2.330116505825291229e-01,-4.660233011650583013e-02,4.008438524376695122e-02
2.340117005850292642e-01,-4.680234011700585423e-02,-2.672638764791955557e-02
2.350117505875293777e-01,-4.700235011750587832e-02,-2.198308131175770452e-01
2.360118005900295191e-01,-4.720236011800590936e-02,-1.564499426490714717e-01
2.370118505925296326e-01,-4.740237011850592652e-02,2.635629080269018543e-01
2.380119005950297739e-01,-4.760238011900595756e-02,1.576136898065756187e+00
2.390119505975298875e-01,-4.780239011950598166e-02,1.279721933522934840e+00
2.400120006000300010e-01,-4.800240012000600576e-02,9.433257232891476551e-01
2.410120506025301423e-01,-4.820241012050602986e-02,-2.554979030402965701e-01
2.420121006050302559e-01,-4.840242012100605395e-02,-2.609899389029685657e-01
2.430121506075303972e-01,-4.860243012150608499e-02,-8.036303770537583935e-01
2.440122006100305108e-01,-4.880244012200610215e-02,-2.105942773532381573e-01
2.450122506125306243e-01,-4.900245012250612625e-02,-8.389840194719693223e-01
2.460123006150307656e-01,-4.920246012300615729e-02,6.091910842336520915e-01
2.470123506175308792e-01,-4.940247012350618139e-02,-2.632394149152211149e+00
2.480124006200310205e-01,-4.960248012400620549e-02,9.336197237125016812e-01
2.490124506225311340e-01,-4.980249012450622959e-02,-4.690854081455059221e-02
2.500125006250312754e-01,-5.000250012500626062e-02,-3.911243966700514441e-01
2.510125506275313612e-01,-5.020251012550627778e-02,-1.438727850062031764e-02
2.520126006300315025e-01,-5.040252012600630188e-02,-3.133595851351839379e+00
2.530126506325316438e-01,-5.060253012650633292e-02,4.264307642963089395e-01
2.540127006350317851e-01,-5.080254012700635702e-02,-1.127326892601642427e+00
2.550127506375318709e-01,-5.100255012750637418e-02,1.764194662278323056e-01
2.560128006400320122e-01,-5.120256012800640522e-02,-5.437007582455146704e-01
2.570128506425321535e-01,-5.140257012850643625e-02,1.939035444705028421e-02
2.580129006450322393e-01,-5.160258012900645341e-02,4.093419447014156609e-01
2.590129506475323806e-01,-5.180259012950647751e-02,-3.071693638135694071e-01
2.600130006500325219e-01,-5.200260013000650855e-02,8.887622929289724638e-01
2.610130506525326632e-01,-5.220261013050653265e-02,6.120400791843000343e-01
2.620131006550327490e-01,-5.240262013100654981e-02,1.526705939352160923e+00
2.630131506575328904e-01,-5.260263013150658085e-02,-4.085185152820256516e-01
2.640132006600330317e-01,-5.280264013200661188e-02,-7.189705671868971137e-01
2.650132506625331175e-01,-5.300265013250662904e-02,-1.524082284096231810e+00
2.660133006650332588e-01,-5.320266013300665314e-02,-5.381713458224564040e-01
2.670133506675334001e-01,-5.340267013350668418e-02,6.231609996616803704e-01
2.680134006700334859e-01,-5.360268013400670134e-02,-9.206944017258887891e-01
2.690134506725336272e-01,-5.380269013450672544e-02,-2.496743750380058913e+00
2.700135006750337685e-01,-5.400270013500675648e-02,-3.491287992757313163e-01
2.710135506775339098e-01,-5.420271013550678751e-02,4.677309992931833471e-01
2.720136006800339956e-01,-5.440272013600680467e-02,5.179326483248434254e-01
2.730136506825341369e-01,-5.460273013650682877e-02,-1.337961840868586938e+00
2.740137006850342782e-01,-5.480274013700685981e-02,-5.557114032020451511e-01
2.750137506875343640e-01,-5.500275013750687697e-02,-3.951617527869556445e-01
2.760138006900345053e-01,-5.520276013800690107e-02,1.572752822370299786e+00
2.770138506925346467e-01,-5.540277013850693211e-02,1.019313811610844112e-01
2.780139006950347880e-01,-5.560278013900696314e-02,1.255205952173951145e+00
2.790139506975348738e-01,-5.580279013950698030e-02,-5.334252025384742524e-01
2.800140007000350151e-01,-5.600280014000700440e-02,-1.750725305756080985e+00
2.810140507025351564e-01,-5.620281014050703544e-02,2.355947798908084034e-01
2.820141007050352422e-01,-5.640282014100705260e-02,1.385511537195748821e-01
2.830141507075353835e-01,-5.660283014150707670e-02,9.793083176729595607e-01
2.840142007100355248e-01,-5.680284014200710774e-02,6.225810591626643742e-01
2.850142507125356661e-01,-5.700285014250713878e-02,-3.397021718713115757e-01
2.860143007150357519e-01,-5.720286014300715594e-02,-5.973410169557549221e-01
2.870143507175358932e-01,-5.740287014350718003e-02,7.294666024948853744e-01
2.880144007200360345e-01,-5.760288014400721107e-02,1.608893438851507762e-01
2.890144507225361203e-01,-5.780289014450722823e-02,1.198510122421763580e+00
2.900145007250362617e-01,-5.800290014500725233e-02,-9.412340532848149088e-01
2.910145507275364030e-01,-5.820291014550728337e-02,-6.333482337950173680e-01
2.920146007300364888e-01,-5.840292014600730053e-02,-1.298173756205134088e+00
2.930146507325366301e-01,-5.860293014650733157e-02,7.149824390426740006e-01
2.940147007350367714e-01,-5.880294014700735566e-02,3.885314333035795320e-01
2.950147507375369127e-01,-5.900295014750738670e-02,-2.696733452562563027e-01
2.960148007400369985e-01,-5.920296014800740386e-02,-8.342671494433822055e-01
2.970148507425371398e-01,-5.940297014850742796e-02,7.730779217401404502e-01
2.980149007450372811e-01,-5.960298014900745900e-02,7.617563809138823139e-01
2.990149507475373669e-01,-5.980299014950747616e-02,-3.804017866319351349e-01
3.000150007500375082e-01,-6.000300015000750720e-02,-5.680263408613555054e-01
3.010150507525376495e-01,-6.020301015050753130e-02,1.233101824618407782e-01
3.020151007550377908e-01,-6.040302015100756233e-02,-4.568040349663477495e-01
3.030151507575378766e-01,-6.060303015150757949e-02,1.344972316322380346e+00
3.040152007600380180e-01,-6.080304015200760359e-02,-7.883294716100236466e-01
3.050152507625381593e-01,-6.100305015250763463e-02,1.361303998907867685e+00
3.060153007650382451e-01,-6.120306015300765179e-02,6.335212157915586229e-01
3.070153507675383864e-01,-6.140307015350768283e-02,-7.020133202189631216e-01
3.080154007700385277e-01,-6.160308015400770693e-02,-4.877620164575257045e-01
3.090154507725386135e-01,-6.180309015450772409e-02,-1.147676712585694592e+00
3.100155007750387548e-01,-6.200310015500775512e-02,9.950042287847595812e-01
3.110155507775388961e-01,-6.220311015550777922e-02,9.345826898227549417e-01
3.120156007800390374e-01,-6.240312015600781026e-02,-6.141784302892452363e-01
3.130156507825391232e-01,-6.260313015650782742e-02,6.874348491916417725e-01
3.140157007850392645e-01,-6.280314015700785846e-02,-7.203595115463847787e-01
3.150157507875394058e-01,-6.300315015750788950e-02,-1.742392642584376580e-02
3.160158007900394916e-01,-6.320316015800790665e-02,1.427048797024388138e+00
3.170158507925396330e-01,-6.340317015850792381e-02,-1.205793854629126249e+00
3.180159007950397743e-01,-6.360318015900795485e-02,-3.029373575488226999e-02
3.190159507975399156e-01,-6.380319015950798589e-02,-1.902226640714727690e+00
3.200160008000400014e-01,-6.400320016000800305e-02,-1.390141371560241090e+00
3.210160508025401427e-01,-6.420321016050803409e-02,-2.894447676745775411e+00
3.220161008050402840e-01,-6.440322016100806513e-02,-2.504172973212850373e-01
3.230161508075403698e-01,-6.460323016150808229e-02,-2.292708882800990056e-01
3.240162008100405111e-01,-6.480324016200809945e-02,-1.059251458039762450e-01
3.250162508125406524e-01,-6.500325016250813048e-02,1.028223795000617891e-01
3.260163008150407382e-01,-6.520326016300814764e-02,4.768990951754453755e-02
3.270163508175408795e-01,-6.540327016350817868e-02,-1.042998169126663349e-01
3.280164008200410208e-01,-6.560328016400820972e-02,-4.448638934548870827e-01
3.290164508225411621e-01,-6.580329016450824076e-02,9.775177178089728969e-01
3.300165008250412479e-01,-6.600330016500825792e-02,-6.991429661782084803e-01
3.310165508275413893e-01,-6.620331016550827508e-02,8.054647346684580267e-01
3.320166008300415306e-01,-6.640332016600830611e-02,7.261697074629211990e-01
3.330166508325416164e-01,-6.660333016650832327e-02,2.706834155626105382e-02
3.340167008350417577e-01,-6.680334016700835431e-02,4.744272448770973094e-01
3.350167508375418990e-01,-6.700335016750838535e-02,4.063915606286427340e-01
3.360168008400420403e-01,-6.720336016800841639e-02,6.029632993844223909e-01
3.370168508425421261e-01,-6.740337016850843355e-02,-2.812237030643760072e+00
3.380169008450422674e-01,-6.760338016900845071e-02,1.353398065190836608e+00
3.390169508475424087e-01,-6.780339016950848174e-02,-1.021476941742972766e+00
3.400170008500424945e-01,-6.800340017000849890e-02,-5.035131425897553248e-01
3.410170508525426358e-01,-6.820341017050852994e-02,-5.122977253920559804e-01
3.420171008550427771e-01,-6.840342017100856098e-02,1.604192043785439559e+00
3.430171508575429185e-01,-6.860343017150859202e-02,6.834211805989885979e-01
3.440172008600430043e-01,-6.880344017200860918e-02,3.405994320988992574e-01
3.450172508625431456e-01,-6.900345017250862634e-02,-2.301031955514984753e-02
3.460173008650432869e-01,-6.920346017300865737e-02,1.759093467098941932e-01
3.470173508675433727e-01,-6.940347017350867453e-02,-2.790563554914460287e-01
3.480174008700435140e-01,-6.960348017400870557e-02,1.103834029896008789e-01
3.490174508725436553e-01,-6.980349017450873661e-02,4.971381771999676402e-02
3.500175008750437411e-01,-7.000350017500875377e-02,-5.549893721728006435e-01
3.510175508775438824e-01,-7.020351017550878481e-02,5.623325105983518757e-01
3.520176008800440237e-01,-7.040352017600880197e-02,7.809252808917909183e-01
3.530176508825441650e-01,-7.060353017650883301e-02,3.432912743216161022e-01
3.540177008850442508e-01,-7.080354017700885016e-02,4.712014867238104587e-01
3.550177508875443921e-01,-7.100355017750888120e-02,2.383015755980610884e-02
3.560178008900445334e-01,-7.120356017800891224e-02,1.153675589518288414e+00
3.570178508925446192e-01,-7.140357017850892940e-02,-3.166456224916390783e-01
3.580179008950447606e-01,-7.160358017900896044e-02,1.144616961201645466e+00
3.590179508975449019e-01,-7.180359017950897760e-02,-1.043205137093476509e+00
3.600180009000450432e-01,-7.200360018000900864e-02,-4.680063067891218620e-01
3.610180509025451290e-01,-7.220361018050902580e-02,-8.254431179005718155e-02
3.620181009050452703e-01,-7.240362018100905683e-02,-3.145682160563560981e-01
3.630181509075454116e-01,-7.260363018150908787e-02,3.029580181781097153e-03
3.640182009100454974e-01,-7.280364018200910503e-02,-8.542410935064059796e-01
3.650182509125456387e-01,-7.300365018250913607e-02,-1.099343633998767222e+00
3.660183009150457800e-01,-7.320366018300915323e-02,-2.931421014527230362e+00
3.670183509175458658e-01,-7.340367018350917039e-02,1.940937636555204182e-01
3.680184009200460071e-01,-7.360368018400920143e-02,4.234821864456188578e-01
3.690184509225461484e-01,-7.380369018450923246e-02,-2.519922745941139297e+00
3.700185009250462898e-01,-7.400370018500926350e-02,6.135580138347725976e-01
